Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2010,7,1,2.0711355,2.0638254,2.069088,1.7221911,1.6112019,1.8968943,1.931013,2.0240178,1.8321135,1.6053639,1.6330797,1.4598948,1.511496,1.0424526,1.132719,1.6369185,1.6473009,1.3985034,1.5020103,1.4071512,1.7082996,1.7754786,1.4106624,1.9987779
2010,7,2,1.9087194,1.9063002,1.9015164,1.4007504,1.4243103,1.4042742,1.2184011,1.3321581,1.3978608,1.3151649,1.126482,1.0558947,0.7845936,0.6434001,0.6772248,0.6319299,0.6619893,0.5954886,0.6409305,0.4964946,0.4060812,0.3464328,0.2633862,0.1984038
2010,7,3,0.4251408,0.3511662,0.2511873,0.1357776,0.1332807,0.0686511,0,0,0,0,0,0,0,0.1031625,0.2080869,0.2987229,0.3653538,0.5179734,0.3236058,0.3088869,0.4205544,0.6709899,0.3774939,0.1166466
2010,7,4,0.1488795,0.1173123,0.0873537,0.0974337,0.0904533,0.0835716,0.1116801,0.2120181,0.3771306,0.4269468,0.5054154,0.49287,0.4497444,0.3581991,0.2888634,0.4229421,0.4338243,0.4489044,0.5015115,0.5123622,0.5293386,0.6519576,0.3114762,0.1723827
2010,7,5,0.1942164,0.194019,0.2383122,0.294336,0.3796716,0.4499544,0.4148319,0.6028134,1.0970337,1.2635427,1.2512787,1.3271727,1.3559406,1.5313767,1.6717176,1.6366623,1.6414965,1.5545586,1.3755567,1.1725371,0.7886277,0.8356278,0.5377449,0.3664101
2010,7,6,0.388122,0.2026752,0.1518153,0.0958272,0.0833112,0.0622587,0,0,0,0,0.5746587,0.7159845,0.7310856,1.0493427,1.3007463,1.214619,0.7542339,0.8484693,0.8497587,0.8140104,0.9426711,1.0094973,0.7127526,0.2648352
2010,7,7,0.1933302,0.0721035,0,0,0,0,0,0,0.0648501,1.2170256,1.6734102,1.7243982,1.5903069,1.5927471,1.4755167,1.3765311,1.1406885,1.1074245,0.9618735,0.8724576,0.89838,1.1552352,0.8099091,0.4265436
2010,7,8,0.466137,0.261555,0.1612065,1.2403461,0.2070348,0.0654297,2.094477,0.4552254,0,0.1697598,0.1055439,0.109389,0,0.7939218,0.4935483,1.7016741,1.0146318,0.9557961,1.9530651,2.0619669,1.9937085,2.0218863,2.0460825,2.0889414
2010,7,9,2.0922573,2.0684055,2.0706903,2.064888,2.0802138,2.0950377,2.0698881,2.0904009,2.0881392,2.078895,2.0851971,2.0936013,2.0907894,2.0814507,2.0779143,2.0867448,2.0890464,2.0740923,2.0952708,2.0947479,2.0767845,2.0551377,2.0522628,2.0666562
2010,7,10,2.062515,2.0318046,1.9658205,1.8875073,1.9443459,1.9224366,1.670508,1.7882718,1.5539937,1.5345582,1.5440397,1.4465766,1.5132663,1.7565513,1.7980683,1.6343628,1.6577736,1.7754786,1.7434011,1.721307,1.7916906,1.819734,1.933155,2.0269809
2010,7,11,2.0243937,1.7274705,1.271697,0.2431443,0.0959763,0.1533042,0.4348449,0.350826,0.0947877,0.6860721,1.3071261,1.5607578,1.6077579,1.6758168,1.6258599,1.6397199,1.6407342,1.7019051,1.6159458,1.7404275,1.7016741,1.9630338,2.0321448,1.9979253
2010,7,12,2.026563,1.9660956,1.8916338,2.0298327,2.0075937,1.7993682,1.4201964,1.4749056,0.6758052,0.5787306,1.5962562,1.1517744,1.5182622,1.3171683,1.1261355,1.134105,1.2771213,1.018059,1.3098078,1.3114836,1.4208306,1.5537102,1.6940385,1.6550457
2010,7,13,1.555407,1.8030558,1.7583993,0.1449525,0,0,0,0.3064677,1.0424526,1.1763402,0.7148085,0.7892493,1.3709976,1.1008431,1.1389581,0.9276015,0.7929852,0.8542758,1.136184,1.0980732,0.786765,0.5516511,0.4901652,0.3733485
2010,7,14,0.687792,0.7661157,1.0118934,0.7145145,0.4648434,0.3131604,0.1428798,0.1874229,0.4466049,0.7487865,1.0252641,0.6603093,0.7759416,0.6324717,0.7159845,1.0572744,1.118859,0.9944676,0.9849294,0.6539001,0.7042749,0.5472306,0.3242379,0.1909845
