Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2044,7,22,0.567234,0.552896,0.520065,0.515613,0.53184,0.570558,0.550084,0.4661,0.338579,0.30074,0.335977,0.393153,0.412802,0.52054,0.576792,0.615761,0.663401,0.707345,0.651506,0.666907,0.726931,0.825586,0.84968,0.8702
2044,7,23,0.850611,0.830194,0.769985,0.743274,0.675978,0.651899,0.490092,0.388791,0.3925,0.47163,0.498322,0.533003,0.553053,0.621375,0.510037,0.521165,0.458298,0.382687,0.302933,0.495327,0.485829,0.548199,0.616648,0.680154
2044,7,24,0.667458,0.600818,0.560191,0.540006,0.507465,0.446858,0.296468,0.210601,0.125339,0.142839,0.148011,0.172545,0.185109,0.189462,0.183446,0.232525,0.253909,0.261241,0.278261,0.273597,0.194346,0.132828,0.206913,0.429995
2044,7,25,0.662103,0.632527,0.552412,0.504032,0.465213,0.420776,0.343141,0.178304,0.106394,0.124209,0.163204,0.223295,0.231081,0.248714,0.251548,0.291668,0.297013,0.341515,0.381955,0.409321,0.367749,0.557639,0.641567,0.788004
2044,7,26,0.851437,0.896406,0.877718,0.881392,0.877546,0.838908,0.749804,0.624189,0.558864,0.669003,0.659012,0.743797,0.773056,0.766112,0.765295,0.789815,0.765313,0.821519,0.800441,0.814597,0.84542,0.920861,0.921967,0.908991
2044,7,27,0.874175,0.806583,0.715138,0.727096,0.661804,0.630795,0.64746,0.643693,0.579839,0.661588,0.712425,0.725305,0.654751,0.717659,0.734542,0.793389,0.809021,0.875821,0.914061,0.921632,0.922278,0.90781,0.899847,0.940539
2044,7,28,0.912841,0.899706,0.895295,0.887611,0.901625,0.85858,0.836411,0.754223,0.671741,0.760398,0.780189,0.767614,0.763382,0.773124,0.665253,0.601186,0.631752,0.671533,0.66631,0.724818,0.740341,0.846086,0.914923,0.95516
2044,7,29,0.955622,0.950187,0.942974,0.941245,0.938943,0.899919,0.863902,0.856521,0.818886,0.825019,0.819657,0.784825,0.770841,0.813597,0.780536,0.898042,0.905803,0.913309,0.910802,0.945103,0.935616,0.957198,0.96943,0.981142
2044,7,30,0.975655,0.97415,0.966622,0.96613,0.938463,0.927278,0.820928,0.786871,0.819859,0.809467,0.783042,0.836114,0.86628,0.844074,0.828276,0.896383,0.893799,0.888688,0.864423,0.888242,0.847026,0.887911,0.915259,0.940636
2044,7,31,0.869028,0.872041,0.840829,0.847318,0.840882,0.843053,0.764396,0.772776,0.759863,0.892739,0.8531,0.91279,0.893786,0.878858,0.882128,0.908494,0.89286,0.909698,0.882553,0.84694,0.781636,0.878861,0.904764,0.921812
2044,8,1,0.905722,0.858871,0.80154,0.797143,0.76264,0.744776,0.643439,0.60179,0.531862,0.545867,0.544026,0.642403,0.548936,0.527574,0.513763,0.533817,0.550743,0.554425,0.595452,0.565273,0.564106,0.610704,0.587973,0.575589
2044,8,2,0.620841,0.557525,0.531883,0.50669,0.48166,0.465489,0.496738,0.450949,0.31584,0.31523,0.316619,0.34364,0.338296,0.384872,0.415755,0.450717,0.383338,0.359811,0.340057,0.332374,0.362123,0.466037,0.545297,0.551234
2044,8,3,0.521393,0.530604,0.525665,0.554594,0.574637,0.606528,0.5826,0.515131,0.432604,0.3858,0.398214,0.392193,0.424746,0.471759,0.426096,0.444006,0.509851,0.568451,0.566607,0.746162,0.713209,0.69287,0.76146,0.804315
2044,8,4,0.847423,0.846997,0.85336,0.814864,0.733187,0.679109,0.582948,0.504884,0.473858,0.565392,0.564405,0.568693,0.654878,0.623258,0.620986,0.619018,0.609116,0.540582,0.496594,0.464444,0.371821,0.384535,0.40671,0.48451
2044,8,5,0.540855,0.561048,0.571042,0.542188,0.507976,0.443946,0.399354,0.286265,0.198285,0.157232,0.14232,0.118719,0.132181,0.154577,0.198226,0.225662,0.242489,0.235031,0.253434,0.297653,0.317237,0.320991,0.337867,0.400624
2044,8,6,0.402242,0.396234,0.373868,0.322707,0.278182,0.303485,0.400347,0.435591,0.275803,0.235335,0.211157,0.219249,0.249194,0.276352,0.285608,0.291541,0.240278,0.307151,0.325554,0.356131,0.34939,0.369566,0.411524,0.395134
2044,8,7,0.348226,0.31804,0.367316,0.376344,0.417161,0.497583,0.57844,0.492891,0.312904,0.265318,0.252736,0.253297,0.252125,0.278346,0.280723,0.281858,0.272124,0.272905,0.219573,0.203022,0.182342,0.223243,0.243828,0.247181
2044,8,8,0.194068,0.178903,0.191419,0.257284,0.309052,0.352248,0.363364,0.321166,0.226265,0.158955,0.171733,0.168696,0.151833,0.137417,0.117437,0.124234,0.132128,0.156785,0.171193,0.183143,0.172462,0.167411,0.273287,0.445674
2044,8,9,0.427383,0.447181,0.432725,0.438484,0.434271,0.453306,0.382148,0.2568,0.184236,0.134732,0.109226,0.162681,0.2147,0.262154,0.276332,0.322126,0.357793,0.387441,0.347031,0.329294,0.24446,0.195208,0.304094,0.453966
2044,8,10,0.395574,0.375154,0.388489,0.439576,0.448486,0.461902,0.346847,0.184421,0.087634,0.085154,0.094092,0.124893,0.201484,0.234206,0.245522,0.244541,0.207583,0.187501,0.184123,0.192196,0.176784,0.065297,0.145785,0.272706
2044,8,11,0.315934,0.336994,0.317207,0.334368,0.346146,0.363358,0.342191,0.217073,0.119349,0.105464,0.121959,0.133941,0.162936,0.164825,0.18761,0.199254,0.214205,0.22607,0.231597,0.222179,0.230098,0.171816,0.285355,0.361956
2044,8,12,0.372301,0.352118,0.348911,0.378954,0.342017,0.348492,0.329783,0.181333,0.075054,0.098051,0.107066,0.157106,0.19838,0.213092,0.228714,0.247211,0.233522,0.203941,0.195057,0.185915,0.205903,0.162411,0.323593,0.459885
2044,8,13,0.47653,0.421548,0.404873,0.458228,0.423661,0.410344,0.34462,0.190425,0.10799,0.101883,0.102578,0.118999,0.152162,0.166271,0.188423,0.196719,0.199389,0.208168,0.245494,0.260678,0.261786,0.39669,0.667448,0.720084
2044,8,14,0.630769,0.653458,0.655845,0.728908,0.736813,0.74438,0.636504,0.512651,0.322818,0.31835,0.246652,0.260538,0.32411,0.412848,0.371359,0.475852,0.527431,0.562789,0.55062,0.595698,0.480648,0.71499,0.77361,0.847506
2044,8,15,0.788676,0.819618,0.781212,0.773288,0.765204,0.768865,0.624941,0.418222,0.205033,0.23473,0.299979,0.389164,0.346792,0.472314,0.55144,0.673302,0.616503,0.589757,0.549603,0.57784,0.500726,0.770133,0.850813,0.916377
2044,8,16,0.913071,0.914753,0.905589,0.91347,0.893645,0.855966,0.789067,0.706981,0.568687,0.596255,0.672201,0.759759,0.673005,0.712691,0.783683,0.830321,0.817359,0.886325,0.865458,0.875281,0.903483,0.959797,0.957319,0.964927
2044,8,17,0.934345,0.924118,0.906838,0.945674,0.935326,0.910293,0.756714,0.623419,0.560689,0.538455,0.526517,0.546184,0.507536,0.559412,0.555007,0.574074,0.630874,0.668246,0.505813,0.483196,0.417529,0.580328,0.697283,0.793865
2044,8,18,0.714511,0.645616,0.632905,0.713009,0.642464,0.56195,0.439525,0.370748,0.271579,0.199493,0.176306,0.194489,0.172478,0.153177,0.131499,0.162938,0.18335,0.212054,0.282054,0.307237,0.228682,0.240934,0.334286,0.389528
2044,8,19,0.304077,0.293042,0.320956,0.376462,0.425369,0.393008,0.327589,0.212202,0.099867,0.072575,0.091897,0.103222,0.10919,0.119035,0.139332,0.160344,0.173843,0.179744,0.146918,0.115567,0.10222,0.067601,0.20682,0.300754
2044,8,20,0.322309,0.390071,0.372814,0.419245,0.439146,0.449345,0.304327,0.177347,0.083311,0.098387,0.135919,0.126104,0.193861,0.209676,0.260208,0.320594,0.235851,0.255308,0.233386,0.256237,0.212408,0.331138,0.586014,0.709539
2044,8,21,0.727242,0.694562,0.57629,0.574065,0.574858,0.569182,0.453835,0.300937,0.185849,0.148506,0.155273,0.185562,0.155716,0.19009,0.237077,0.250221,0.244602,0.334132,0.324784,0.3424,0.264114,0.346945,0.339653,0.54813
2044,8,22,0.471831,0.443879,0.39241,0.378171,0.348344,0.327376,0.238379,0.181237,0.096976,0.058653,0.054078,0.055754,0.050378,0.071534,0.084148,0.115069,0.118374,0.128223,0.14347,0.143642,0.085418,0.072706,0.090132,0.089413
2044,8,23,0.086444,0.097896,0.116126,0.147719,0.165356,0.216332,0.210305,0.16982,0.100144,0.031983,0.039812,0.053477,0.059022,0.062594,0.059986,0.0596,0.076772,0.087594,0.106655,0.107901,0.067595,0.05612,0.094388,0.147003
2044,8,24,0.119425,0.134954,0.174386,0.238791,0.271641,0.349156,0.310363,0.194855,0.124552,0.083382,0.071689,0.097824,0.110716,0.129865,0.154604,0.182086,0.202116,0.246443,0.267257,0.303632,0.185188,0.302708,0.41052,0.458479
2044,8,25,0.42616,0.566717,0.553136,0.557581,0.547234,0.522735,0.381349,0.25249,0.154814,0.105443,0.116585,0.150632,0.178666,0.227852,0.244897,0.287036,0.267334,0.261463,0.259909,0.267667,0.223851,0.419277,0.537528,0.631601
2044,8,26,0.548572,0.529073,0.519679,0.597304,0.621761,0.56853,0.453693,0.301555,0.215587,0.177536,0.176211,0.195287,0.180286,0.211529,0.233519,0.248997,0.301679,0.359196,0.363012,0.401083,0.298154,0.385776,0.402123,0.577774
2044,8,27,0.5176,0.544182,0.568045,0.585939,0.54184,0.485276,0.372236,0.245277,0.147938,0.096272,0.10224,0.102743,0.156291,0.172949,0.177079,0.185029,0.182165,0.172515,0.205512,0.208575,0.184628,0.130701,0.173217,0.224358
2044,8,28,0.241567,0.233631,0.235991,0.300697,0.285095,0.270361,0.200433,0.113688,0.050255,0.046814,0.048778,0.049424,0.077128,0.086504,0.099552,0.108367,0.104971,0.112832,0.125384,0.129986,0.121867,0.049204,0.101078,0.121312
2044,8,29,0.089739,0.123058,0.171193,0.257641,0.309112,0.318074,0.246958,0.158539,0.081914,0.065684,0.082271,0.076154,0.06991,0.070249,0.094739,0.141646,0.192781,0.230495,0.242623,0.256903,0.15109,0.230609,0.403618,0.467209
2044,8,30,0.419372,0.482954,0.457647,0.506721,0.562934,0.619099,0.576221,0.429622,0.314492,0.253099,0.220458,0.239667,0.246122,0.23986,0.244051,0.29627,0.308797,0.302305,0.308332,0.30166,0.215646,0.332928,0.504169,0.560117
2044,8,31,0.514951,0.608101,0.616017,0.660658,0.696086,0.713496,0.648618,0.539049,0.371877,0.263229,0.220099,0.258439,0.305518,0.339123,0.317102,0.32703,0.302929,0.363258,0.384266,0.382486,0.454416,0.689954,0.762953,0.763351
2044,9,1,0.742051,0.736833,0.7409,0.76773,0.772894,0.750387,0.702187,0.610794,0.494684,0.433317,0.407213,0.414487,0.372525,0.357141,0.35292,0.39066,0.340833,0.406469,0.404176,0.403114,0.357142,0.546778,0.524344,0.56668
2044,9,2,0.5345,0.493467,0.507448,0.570368,0.549022,0.547581,0.45778,0.388965,0.275851,0.19586,0.159884,0.165074,0.191407,0.173523,0.164062,0.174222,0.181677,0.202389,0.18746,0.179343,0.108972,0.162249,0.233268,0.26719
2044,9,3,0.221351,0.233688,0.235179,0.249502,0.219271,0.216752,0.195203,0.199353,0.129708,0.053737,0.049315,0.054312,0.050113,0.046239,0.058046,0.070233,0.080553,0.087608,0.087689,0.099258,0.066395,0.093964,0.14648,0.161278
2044,9,4,0.161109,0.186788,0.210284,0.229785,0.244553,0.230826,0.28624,0.293792,0.186781,0.088731,0.064492,0.063657,0.067448,0.073328,0.071704,0.068767,0.104136,0.104471,0.111852,0.107378,0.06956,0.048161,0.070367,0.050096
2044,9,5,0.050336,0.048546,0.051284,0.053605,0.0563,0.074261,0.082802,0.125118,0.117253,0.045843,0.039773,0.032377,0.030355,0.028325,0.0334,0.033352,0.111285,0.149477,0.170062,0.178594,0.058173,0.049856,0.124624,0.089214
2044,9,6,0.04824,0.025761,0.034063,0.029617,0.055796,0.102486,0.205617,0.193736,0.107779,0.081239,0.028298,0.008169,0.007238,0.008226,0.017629,0.017318,0.005731,0,0,0,0,0,0,0
2044,9,7,0,0.024433,0.047664,0.035387,0.050848,0.092973,0.328605,0.512074,0.152197,0.043325,0.03374,0.040124,0.040511,0.039715,0.02834,0.025538,0.027071,0.043071,0.063725,0.060769,0.039156,0.006154,0.029484,0.033219
2044,9,8,0.031547,0.047006,0.065963,0.098969,0.117613,0.165614,0.247119,0.413082,0.175076,0.117214,0.069632,0.067915,0.056135,0.074883,0.06599,0.067971,0.071588,0.091422,0.105874,0.138401,0.099372,0.278017,0.42842,0.452703
2044,9,9,0.457575,0.541697,0.636503,0.719351,0.756217,0.776762,0.713326,0.611415,0.425913,0.383151,0.379013,0.46967,0.533287,0.553195,0.577229,0.761223,0.816256,0.833295,0.80751,0.82903,0.855435,0.910826,0.940544,0.948003
2044,9,10,0.924363,0.935907,0.94125,0.931536,0.914703,0.899883,0.836169,0.741087,0.601379,0.505826,0.513101,0.679288,0.702668,0.620925,0.609531,0.674637,0.60741,0.566278,0.509166,0.473018,0.461397,0.740644,0.829629,0.846994
2044,9,11,0.81013,0.804839,0.786739,0.7826,0.772639,0.73282,0.687478,0.533093,0.456232,0.397271,0.368636,0.346179,0.283869,0.247825,0.233244,0.255916,0.367059,0.42528,0.377624,0.397556,0.440867,0.568747,0.667121,0.702915
2044,9,12,0.600896,0.603106,0.633197,0.64098,0.627024,0.597386,0.555296,0.484902,0.312133,0.227009,0.201654,0.200367,0.218042,0.200082,0.206864,0.237438,0.27718,0.336287,0.304987,0.308535,0.351538,0.509777,0.731117,0.710367
2044,9,13,0.64739,0.670163,0.692837,0.695963,0.667442,0.649377,0.620563,0.523749,0.395064,0.275424,0.274218,0.2812,0.348914,0.390279,0.376218,0.405079,0.448552,0.4077,0.396283,0.52981,0.675207,0.777205,0.857477,0.838975
2044,9,14,0.814704,0.79045,0.791678,0.827797,0.867028,0.860407,0.818425,0.760033,0.592541,0.50041,0.507585,0.619299,0.535128,0.592754,0.620855,0.774468,0.825623,0.759583,0.70729,0.709124,0.758029,0.846915,0.8937,0.880181
2044,9,15,0.866029,0.844249,0.844138,0.87433,0.869986,0.865221,0.82497,0.747277,0.584746,0.468179,0.415875,0.481077,0.473924,0.534122,0.625975,0.674691,0.585403,0.580458,0.667492,0.61068,0.612755,0.754046,0.809499,0.829438
2044,9,16,0.747389,0.727285,0.6995,0.72489,0.670913,0.6323,0.577767,0.50725,0.38236,0.31878,0.291415,0.304198,0.290726,0.267694,0.26232,0.254227,0.297454,0.434471,0.433353,0.454558,0.392993,0.44948,0.444626,0.532223
2044,9,17,0.550194,0.598683,0.666444,0.67938,0.61934,0.595999,0.536318,0.470034,0.279797,0.20747,0.182687,0.204413,0.233392,0.218994,0.284786,0.285358,0.326656,0.341917,0.297388,0.287444,0.152434,0.257514,0.457146,0.471933
2044,9,18,0.471778,0.474269,0.524798,0.567509,0.548243,0.559895,0.473848,0.314531,0.155587,0.09532,0.095283,0.106377,0.104142,0.137406,0.146493,0.228269,0.226606,0.23252,0.226352,0.227249,0.117136,0.238921,0.432041,0.478844
2044,9,19,0.409931,0.391453,0.367183,0.334028,0.360966,0.396459,0.352612,0.225857,0.150548,0.071229,0.061531,0.063552,0.066729,0.069895,0.074187,0.087424,0.112288,0.120579,0.098135,0.114131,0.044429,0.102259,0.09442,0.083614
2044,9,20,0.099801,0.105254,0.123795,0.150173,0.147117,0.171148,0.134679,0.129125,0.081425,0.044344,0.036853,0.02396,0.021998,0.0058,0.005192,0.005221,0.062029,0.080472,0.075482,0.067972,0.023268,0.004807,0.015914,0.052379
2044,9,21,0.108539,0.060531,0.092019,0.070665,0.079755,0.100182,0.115742,0.085005,0.064366,0.022007,0,0,0,0,0,0,0.028998,0.093182,0.112308,0.136301,0.043544,0.096497,0.108402,0.177322
2044,9,22,0.183165,0.261922,0.341684,0.334856,0.34979,0.387031,0.415544,0.31779,0.16134,0.129433,0.126735,0.131072,0.135096,0.149314,0.175273,0.221309,0.234029,0.207741,0.198028,0.200685,0.058001,0.178266,0.261819,0.262632
